Year,NumEvents
1979,430941
1980,561445
1981,678457
1982,764325
1983,848806
1984,873229
1985,987942
1986,1077047
1987,1091590
1988,1183220
1989,1077466
1990,1126957
1991,1471086
1992,1097338
1993,1310741
1994,1774666
1995,1780524
1996,2793232
1997,3652082
1998,4267872
1999,4754487
2000,4540506
2001,4995943
2002,4415923
2003,5532338
2004,4652307
2005,3547723
2006,6358755
2007,11255365
2008,14331021
2009,23464598
2010,22502301
2011,31501556
2012,34583089
2013,35363407
2014,48355296
2015,66012481
2016,72883916
2017,62205978
