Year,NumArticles
1979,133535
1980,190432
1981,253053
1982,301049
1983,336629
1984,372709
1985,424088
1986,428962
1987,441297
1988,463839
1989,391050
1990,371258
1991,623280
1992,346898
1993,566648
1994,691549
1995,633796
1996,924990
1997,932429
1998,1384259
1999,1903713
2000,1644230
2001,1952601
2002,1585556
2003,2107287
2004,1991022
2005,1419547
2006,2068638
2007,5241264
2008,7438908
2009,14774058
2010,16801885
2011,30364699
2012,36060606
2013,29982809
2014,48475962
2015,96456932
2016,106574517
2017,82169316
